IDFunction,Pattern,Condition
30,##C*,
30,##CR*,
30,##D*,
30,##DIN*,
30,##DZ*,
30,##F*,
30,##GR*,
30,##I*,
30,##IC*,
30,##J*,
30,##JP*,
30,##K*,
30,##L*,
30,##LD*,
30,##LED*,
30,##M*,
30,##MF*,
30,##P*,
30,##Q*,
30,##QZ*,
30,##R*,
30,##RL*,
30,##SC*,
30,##SP*,
30,##SW*,
30,##T*,
67,##TP*,
30,##TR*,
30,##TRIM*,
30,##U*,
66,##V*,
66,##VIA*,
30,##Y*,
30,##Z*,
30,52*,
30,74*,
30,BC*,
30,BF*,
30,CAP*,
30,CAPAC*,
30,CLOCK*,
30,CONN*,
30,DIGITAL*,
30,DIODE*,
30,ELCAP*,
65,FIDUCIAL*,
30,FUSE*,
30,IND*,
30,JUMP*,
30,JUMPER*,
30,K*,
30,LM*,
30,MC*,
30,MOSFET*,
30,OQ*,
30,P*,
30,QFP*,
30,RES*,
30,RESIST*,
67,TESTPOINT*,
67,TP*,
30,TRANSF*,
30,TRANSIST*,
30,TRIM*,
30,TRP*,
66,VIA*,
30,Z*,
