IDJump,Name
0,<unknown>
1,NoJump
2,Jump
3,JumpOnOk
4,JumpOnError
5,JumpOnPreviousError
6,CallSectionBefore
7,CallComponentBefore
8,CallSectionOnPreviousError
9,CallComponentOnPreviousError
10,CallSectionAfter
11,CallComponentAfter
12,CallSectionOnOk
13,CallComponentOnOk
14,CallSectionOnError
15,CallComponentOnError
16,CallSectionOnPreviousOk
17,CallComponentOnPreviousOk
18,JumpOnPreviousOk
19,JumpOnErrorAndReset
20,JumpOnErrorAndResetAll
21,JumpOnPrevErrAndResetAll
22,JumpOnErrorForceNoTest
23,JumpOnPrevErrForceNoTest
24,JumpOnOkAndReset
25,JumpOnOkToNextComponent
26,JumpOnErrorToNextComponent
27,JumpOnOkToNextSection
28,JumpOnErrorToNextSection
29,JumpOnPreviousErrorIsolation
